### SHEET: SSOC2024-ISCO08 (1133 rows)
313	Specialised goods sales professional n.e.c. | 24339 | 2433 | p | Technical and medical sales professionals (excluding ICT)
314	Commodities trader (excluding oil, bunker and environmental commodities) | 24351 | 3324 |  | Trade brokers
315	Oil/Bunker trader | 24352 | 3324 |  | Trade brokers
316	Ship charterer | 24353 | 3324 |  | Trade brokers
317	Environmental commodities trader | 24354 | 3324 |  | Trade brokers
318	Trade broker | 24361 | 3324 |  | Trade brokers
319	Ship broker | 24362 | 3324 |  | Trade brokers
320	Systems designer/analyst | 25111 | 2511 |  | Systems analysts
321	ICT business process consultant/business analyst | 25112 | 2511 |  | Systems analysts
322	Enterprise/Solution/Software architect | 25113 | 2511 | p | Systems analysts
323	Enterprise/Solution/Software architect | 25113 | 2523 | p | Computer network professionals
324	ICT product manager | 25114 | 2431 | p | Advertising and marketing professionals
325	ICT product manager | 25114 | 2511 | p | Systems analysts
326	Software developer | 25121 | 2512 |  | Software developers
327	Web/Mobile applications developer | 25122 | 2513 |  | Web and multimedia developers
328	Multimedia-games developer/designer | 25123 | 2166 | p | Graphic and multimedia designers
329	Multimedia-games developer/designer | 25123 | 2513 | p | Web and multimedia developers
330	Interaction designer | 25124 | 2166 | p | Graphic and multimedia designers
331	Interaction designer | 25124 | 2513 | p | Web and multimedia developers
332	DevOps engineer | 25125 | 2512 | p | Software developers
333	DevOps engineer | 25125 | 2513 | p | Web and multimedia developers
334	Applications/Systems programmer | 25141 | 2514 |  | Applications programmers
335	Artificial intelligence applied researcher | 25142 | 2519 |  | Software and applications developers and analysts not elsewhere classified
336	Artificial intelligence/Machine learning engineer | 25143 | 2514 |  | Applications programmers
337	ICT quality assurance specialist | 25151 | 2519 |  | Software and applications developers and analysts not elsewhere classified
338	ICT auditor | 25152 | 2519 |  | Software and applications developers and analysts not elsewhere classified
339	Software and applications developer/analyst n.e.c. | 25190 | 2519 |  | Software and applications developers and analysts not elsewhere classified
340	Data/Database administrator | 25211 | 2521 |  | Database designers and administrators
341	Data/Database architect | 25212 | 2521 |  | Database designers and administrators
342	Data engineer | 25213 | 2521 |  | Database designers and administrators
343	Network/Server/Applications/Computer systems administrator | 25220 | 2522 |  | Systems administrators
344	Cloud specialist | 25231 | 2523 |  | Computer network professionals
345	IT infrastructure specialist | 25232 | 2523 |  | Computer network professionals
346	Automation and orchestration engineer | 25233 | 2523 | p | Computer network professionals
347	Automation and orchestration engineer | 25233 | 2141 | p | Industrial and production engineers
348	Computer network/infrastructure/platform professional n.e.c. | 25239 | 2523 |  | Computer network professionals
349	Cyber risk specialist | 25241 | 2529 |  | Database and network professionals not elsewhere classified
350	Penetration testing specialist | 25242 | 2529 |  | Database and network professionals not elsewhere classified
351	Security operations specialist | 25243 | 2529 |  | Database and network professionals not elsewhere classified
352	Digital forensics specialist | 25244 | 2529 |  | Database and network professionals not elsewhere classified
353	Cybersecurity architect | 25245 | 2529 |  | Database and network professionals not elsewhere classified
354	Cyber incident investigation specialist | 25246 | 2529 |  | Database and network professionals not elsewhere classified
355	Threat analysis specialist | 25247 | 2529 |  | Database and network professionals not elsewhere classified
